phase,model_name,display_name,params,folds_used,mean_log_loss,mean_brier,mean_accuracy,mean_auc,std_log_loss,std_brier,std_accuracy,std_auc
train_to_validation,glm_ridge,GLM Ridge,c=0.0625; l1_ratio=None; lambda=16; model_name=glm_ridge; penalty_family=ridge,5,0.629255188371687,0.22053984231114532,0.6105263157894736,0.7035425685425685,0.07884973034173946,0.035339198104791435,0.11815760168759815,0.13110801416410808
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.5; l1_ratio=0.15; lambda=2; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6625537385922918,0.23230468256515283,0.6,0.6920274170274171,0.16428416314184546,0.0650311965208454,0.09761703679469162,0.13459400160937682
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.95; lambda=1; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6636249923136319,0.2326390118253195,0.6210526315789473,0.6944083694083695,0.1667107725331991,0.06561032913588717,0.12631578947368421,0.1385926827749367
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.85; lambda=1; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6652331460314858,0.2331090062935679,0.5894736842105264,0.6942496392496393,0.16925674992672307,0.06640738075437227,0.09055079228465922,0.13607502000768082
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.5; l1_ratio=0.05; lambda=2; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6664531917751053,0.2334740226913013,0.5894736842105264,0.6941414141414141,0.1692745591247186,0.06641417822600894,0.09055079228465922,0.13646969313803442
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.7; lambda=1; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6679678126773012,0.23391449045479984,0.6,0.6965223665223665,0.17300588191551383,0.0675358768514076,0.09761703679469162,0.13402998424534432
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.03125; l1_ratio=0.3; lambda=32; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.671785150409667,0.23948305978962225,0.5684210526315789,0.6586940836940837,0.03226173607624527,0.015926998782219155,0.13062814364200903,0.14845657123779515
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.5; lambda=1; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6719508361390889,0.23524646391492937,0.6,0.6919191919191919,0.17826230075363436,0.06917204159669967,0.09761703679469162,0.1285964984797741
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.0625; l1_ratio=0.7; lambda=16; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6724003151193158,0.23980695570205984,0.6105263157894737,0.6562049062049062,0.037782244116959234,0.018596261323915186,0.14736842105263157,0.14244884771325597
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.3; lambda=1; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.676406640830752,0.23663229973476968,0.6105263157894737,0.6895382395382395,0.18419626686246482,0.07086617580591156,0.11337189067651589,0.13105372947985053
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.0625; l1_ratio=0.85; lambda=16; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6795986548186621,0.2433005707027232,0.5578947368421053,0.6180519480519481,0.029943841616271918,0.014822486929292939,0.10313641022244961,0.15504789063752883
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.15; lambda=1; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6801139995083318,0.23771824445331421,0.5894736842105263,0.6916017316017316,0.18859955395895767,0.07202415455454006,0.13480261552490208,0.13633789353659254
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.0625; l1_ratio=0.95; lambda=16; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6825050194525939,0.24472508064949322,0.5578947368421053,0.6436507936507937,0.02262746328231047,0.011231637552505017,0.09761703679469162,0.1411548259998215
train_to_validation,glm_elastic_net,Elastic Net GLM,c=2; l1_ratio=0.95; lambda=0.5; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6825897163786652,0.2386063000344222,0.6,0.6960966810966811,0.19225074770122233,0.07316821189788303,0.12275688199674319,0.13615838175688894
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.05; lambda=1; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6826439179093462,0.2384397075335248,0.5789473684210525,0.6892207792207792,0.19151885737584567,0.07277363774103555,0.12892051277806202,0.13850252739440677
train_to_validation,glm_elastic_net,Elastic Net GLM,c=2; l1_ratio=0.85; lambda=0.5; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6838096276258174,0.23899267035969274,0.5894736842105263,0.6937157287157287,0.19397746964383625,0.07365153826178754,0.13480261552490208,0.13840317310200076
train_to_validation,glm_elastic_net,Elastic Net GLM,c=2; l1_ratio=0.7; lambda=0.5; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6857451211918157,0.239585711628921,0.5894736842105263,0.6914430014430014,0.19651607131603643,0.07434807294226937,0.13480261552490208,0.14033907251157907
train_to_validation,glm_elastic_net,Elastic Net GLM,c=2; l1_ratio=0.5; lambda=0.5; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6885909278613852,0.24043636442031557,0.6,0.6914430014430014,0.20001327902540833,0.07528447089090765,0.14355980733669324,0.14033907251157907
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.03125; l1_ratio=0.5; lambda=32; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6890012144439089,0.24793605422434223,0.5473684210526316,0.6056565656565656,0.0214519333724521,0.010668338864062306,0.0917662935482247,0.14476994123122885
train_to_validation,glm_elastic_net,Elastic Net GLM,c=2; l1_ratio=0.3; lambda=0.5; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6913764204621031,0.24122282788106011,0.5894736842105263,0.6914430014430014,0.20323243843604408,0.07608957895274872,0.15398672461397678,0.14033907251157907
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.03125; l1_ratio=0.7; lambda=32; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6918414693159891,0.2493459480105101,0.5368421052631579,0.5,0.01309867399294192,0.006536230514378028,0.09055079228465925,0.0
train_to_validation,glm_elastic_net,Elastic Net GLM,c=2; l1_ratio=0.15; lambda=0.5; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6934995531862453,0.24180338572667784,0.5789473684210525,0.6869480519480519,0.2055741292028076,0.07665248552236043,0.14509525002200235,0.13981121835191518
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.03125; l1_ratio=0.95; lambda=32; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6936462136305351,0.2502407393382831,0.5368421052631579,0.5,0.01579169689376543,0.007872831839937004,0.09055079228465925,0.0
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.03125; l1_ratio=0.85; lambda=32; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6938761292054766,0.25035278690956264,0.5368421052631579,0.5,0.017871733952838732,0.008901772068669097,0.09055079228465925,0.0
train_to_validation,glm_elastic_net,Elastic Net GLM,c=2; l1_ratio=0.05; lambda=0.5; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6949683511539195,0.2421972930910654,0.5684210526315789,0.6869480519480519,0.20712050211157187,0.07701331575318432,0.13885164166603073,0.13981121835191518
