phase,model_name,display_name,params,folds_used,mean_log_loss,mean_brier,mean_accuracy,mean_auc,std_log_loss,std_brier,std_accuracy,std_auc
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.75,5,0.6089175601715072,0.21010867874112163,0.691304347826087,0.7697691197691198,0.0237505127247308,0.011646032925484844,0.04215373789057678,0.0725886014688725
train_to_validation,glm_lasso,Lasso GLM,c=1,5,0.5877848131200373,0.19929770675924574,0.6869565217391305,0.782537518037518,0.059470194127946414,0.026238407041562176,0.062403043888727486,0.06957373446825679
train_to_validation,glm_lasso,Lasso GLM,c=0.5,5,0.588429892958797,0.19979846945707458,0.691304347826087,0.7806392496392496,0.056761740094801776,0.02533022267985737,0.06929294543699663,0.07036360517287596
train_to_validation,glm_lasso,Lasso GLM,c=0.25,5,0.589274493982165,0.20052757386729475,0.7043478260869567,0.7802063492063492,0.0500467050415785,0.022803923858130282,0.07728864710709207,0.06888969193536743
train_to_validation,glm_lasso,Lasso GLM,c=0.1,5,0.5975613561969115,0.20478142406629232,0.7043478260869565,0.7754509379509379,0.03542083051368275,0.016956992458369128,0.07605589428059087,0.07029331539910022
train_to_validation,glm_lasso,Lasso GLM,c=0.05,5,0.6167674373692716,0.21372871915907998,0.6782608695652175,0.7648297258297259,0.01776725907695842,0.00867772951679922,0.04841534228547846,0.07340982311042483
train_to_validation,glm_lasso,Lasso GLM,c=0.01,5,0.6897197369354187,0.24827983679569332,0.5478260869565219,0.5,0.008257242433478999,0.004103587257322542,0.03194986621021539,0.0
train_to_validation,glm_vanilla,Vanilla GLM,{},5,0.5895489544136175,0.19989917462163415,0.691304347826087,0.7797640692640693,0.05882352505332144,0.02559978268550612,0.06929294543699663,0.06413888898526861
train_validation_to_test,glm_ridge,GLM Ridge,c=0.05,5,0.6392805768327501,0.22364290911387058,0.6370370370370371,0.6904855315867685,0.047645069608666976,0.021026492312839498,0.060688776326570146,0.07199017408612324
train_validation_to_test,glm_ridge,GLM Ridge,c=0.1,5,0.6422640585752623,0.22459800388915277,0.6314814814814815,0.6890219886034856,0.05241994470507233,0.022876924645987874,0.04843221048378526,0.07113374339996686
train_validation_to_test,glm_ridge,GLM Ridge,c=0.25,5,0.6455233705959932,0.22567616077886926,0.6351851851851852,0.6881782026171526,0.05540153820102077,0.023946669731587853,0.05543196128553986,0.07045552932462538
train_validation_to_test,glm_ridge,GLM Ridge,c=0.5,5,0.6470999150827688,0.2262149012177023,0.6351851851851852,0.6869924414642472,0.05630093641855706,0.024240559183974403,0.05543196128553986,0.06974537213499073
train_validation_to_test,glm_ridge,GLM Ridge,c=1,5,0.6480579153468555,0.22654846734026507,0.6370370370370371,0.6863048907261475,0.05666000441449228,0.02434096830561065,0.054117182208157234,0.06910894236312691
train_validation_to_test,glm_ridge,GLM Ridge,c=2,5,0.6486059367061886,0.22674242064611602,0.6351851851851852,0.6859586415814394,0.05678523703985231,0.0243647386552254,0.05543196128553986,0.06883399945196385
train_validation_to_test,glm_ridge,GLM Ridge,c=4,5,0.648898463928066,0.22684709482666782,0.6351851851851852,0.6856069832076201,0.05683039781304214,0.02436797100667258,0.05543196128553986,0.0688765682447629
train_validation_to_test,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.1,5,0.6396078056251404,0.22384668730955753,0.638888888888889,0.6900394863868191,0.04429916682955981,0.01958795827578436,0.05737753105492467,0.07147015500393115
train_validation_to_test,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.25,5,0.6415394216582635,0.2248167230169107,0.638888888888889,0.6888840516249857,0.03785731874862589,0.016677266266742912,0.053990295322641664,0.06791261106764032
train_validation_to_test,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.1,5,0.6421334240951511,0.22458731124739054,0.6351851851851852,0.6888086392271713,0.050902223196789664,0.022275997775655535,0.052574331728068115,0.07070011001905553
train_validation_to_test,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.25,5,0.6427542695052677,0.22491961869900878,0.6444444444444444,0.6885006639068583,0.04774729396520714,0.020963064185592507,0.059027323890774926,0.06921782447563399
train_validation_to_test,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.5,5,0.6432215003852179,0.22578176251178514,0.6351851851851852,0.6855744810938973,0.029402810230544828,0.012642716196776238,0.04247164793029525,0.05827830649072417
train_validation_to_test,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.75,5,0.6440480607010842,0.22629003205509216,0.6222222222222223,0.6860098035262303,0.025128857454940354,0.010644644455524134,0.03065360251342012,0.058050461326684934
train_validation_to_test,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.75,5,0.6441431813638365,0.22580737253742705,0.6407407407407407,0.6852895635631164,0.03640985393633842,0.01576714389959365,0.05779439457158236,0.058236246597186445
