feature,status,best_shape,family_hint,holdout_log_loss_gain_best,holdout_brier_gain_best,train_log_loss_gain_best,shape_gap_best,direction_changes_best,recommendation,skip_reason,n_unique,n_non_missing,smooth_holdout_log_loss_gain,hinge_holdout_log_loss_gain,smooth_holdout_brier_gain,hinge_holdout_brier_gain,smooth_shape_gap,hinge_shape_gap
dyn_home_mean,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,486,507,-0.02711052929338509,-0.037881389240452035,-0.0116384689664783,-0.015327730073426082,0.12538059091035275,0.1274965538015177
dyn_home_prob,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,491,507,-0.024160701542209395,-0.012925510485122027,-0.00925246411050229,-0.00497813774975886,0.1465422151347086,0.22136686932092703
elo_home_pre,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,487,507,-0.02421283970351329,-0.024638560302218337,-0.009249984794311272,-0.009244837734996458,0.05968818408105481,0.08731561934195198
home_darko_like_total,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,478,507,-0.0302606913508755,-0.01752201456902691,-0.012501777412866955,-0.008492670717210382,0.10901685650683446,0.18592304881474442
home_games_played_prior,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,36,507,-0.004983689491908971,-0.046473086331889846,-0.0002979744080811031,-0.014511425711303483,0.21155237836325846,0.313364202459021
away_ewm_foul_margin,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,1,507,0.0,0.0,0.0,0.0,0.0,0.0
away_ewm_free_throw_pressure,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,3,507,0.0,0.0,0.0,0.0,0.0,0.0
away_r5_foul_margin,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,1,507,0.0,0.0,0.0,0.0,0.0,0.0
discipline_foul_margin_diff_hinge_000,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,1,507,0.0,0.0,0.0,0.0,0.0,0.0
discipline_foul_pressure_diff,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,2,507,0.0,0.0,0.0,0.0,0.0,0.0
home_ewm_foul_margin,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,1,507,0.0,0.0,0.0,0.0,0.0,0.0
home_r14_scoring_efficiency_proxy,skip,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,too_few_unique_values,1,507,0.0,0.0,0.0,0.0,0.0,0.0
